# {"t_start": 1765801489.3571959, "env_id": "Bpp-v0"} 
r,l,t
9.0,13,2356.656549
7.4,15,2359.300216
5.32,12,2361.119243
7.05,11,2363.673878
5.79,15,2366.632177
6.9,19,2369.427884
3.65,10,2371.194821
7.2,17,2374.929524
4.56,16,2377.686812
5.6,10,2379.503499
7.35,16,2382.207471
6.06,12,2385.087096
7.7,17,2387.840424
2.57,8,2389.549067
5.0,20,2393.465391
3.86,10,2395.244073
5.5,17,2397.968404
5.36,17,2400.736064
5.74,16,2404.426742
5.0,13,2406.273052
4.8,16,2408.958727
5.58,15,2411.862029
6.28,20,2415.44267
8.1,17,2418.888643
5.24,18,2421.928273
6.8,15,2424.604979
5.46,17,2428.072331
4.62,15,2431.012623
5.79,18,2433.797346
4.17,13,2436.395019
4.68,12,2438.277688
7.96,19,2442.052363
5.52,18,2445.512195
4.0,12,2447.389188
5.47,14,2450.602147
4.2,13,2453.437847
7.1,21,2457.051034
4.6,14,2459.999777
6.44,17,2462.726416
6.85,15,2465.399028
6.3,12,2467.471017
3.02,10,2469.284362
5.92,15,2471.962683
4.0,9,2473.725702
2.76,12,2476.558335
4.6,13,2478.381628
3.98,13,2480.94029
5.4,16,2483.577983
5.99,16,2486.483656
5.24,15,2489.076314
4.8,15,2491.690644
5.0,14,2494.554647
6.4,11,2496.374257
4.72,17,2499.865581
6.2,15,2502.571248
4.8,15,2505.502873
5.95,17,2508.240523
5.04,14,2511.242332
3.77,9,2513.268971
3.6,17,2515.985414
5.72,13,2518.568728
4.23,15,2521.22739
6.2,10,2523.257954
3.82,12,2525.098635
6.01,19,2528.608289
2.75,7,2529.559314
4.96,14,2532.466226
4.74,15,2535.150133
6.52,14,2537.82881
3.96,16,2540.814123
2.9,10,2542.597782
5.32,16,2545.306767
4.17,11,2547.139228
7.9,15,2550.119531
6.0,20,2553.728167
3.15,14,2556.330806
3.4,11,2558.152518
5.72,12,2560.946849
5.52,16,2563.59848
5.4,13,2566.209487
5.38,23,2570.102495
